timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1648016040750,29613,Refund Policy-1,200,OK,Thread Group 1-22,text,true,,111652,139,138,138,https://ajkerdeal.com:443/refundpolicy.aspx,309,0,0
1648016056884,13596,Refund Policy,200,OK,Thread Group 1-27,text,true,,112011,274,137,137,https://ajkerdeal.com:443/refundpolicy.aspx,317,0,0
1648016056884,317,Refund Policy-0,301,Moved Permanently,Thread Group 1-27,text,true,,359,135,137,137,http://ajkerdeal.com/refundpolicy.aspx,317,0,0
1648016057201,13279,Refund Policy-1,200,OK,Thread Group 1-27,text,true,,111652,139,137,137,https://ajkerdeal.com:443/refundpolicy.aspx,304,0,0
1648016057608,12872,Refund Policy,200,OK,Thread Group 1-183,text,true,,112011,274,137,137,https://ajkerdeal.com:443/refundpolicy.aspx,252,0,0
1648016057608,252,Refund Policy-0,301,Moved Permanently,Thread Group 1-183,text,true,,359,135,137,137,http://ajkerdeal.com/refundpolicy.aspx,252,0,0
1648016057860,12620,Refund Policy-1,200,OK,Thread Group 1-183,text,true,,111652,139,137,137,https://ajkerdeal.com:443/refundpolicy.aspx,1164,0,0
1648016054924,15559,Refund Policy,200,OK,Thread Group 1-94,text,true,,112011,274,136,136,https://ajkerdeal.com:443/refundpolicy.aspx,197,0,0
1648016054924,197,Refund Policy-0,301,Moved Permanently,Thread Group 1-94,text,true,,359,135,136,136,http://ajkerdeal.com/refundpolicy.aspx,197,0,0
1648016055121,15362,Refund Policy-1,200,OK,Thread Group 1-94,text,true,,111652,139,136,136,https://ajkerdeal.com:443/refundpolicy.aspx,1317,0,0
1648016041466,29067,Complain & Suggestion,200,OK,Thread Group 1-76,text,true,,118603,282,134,134,https://ajkerdeal.com:443/customercomplain.aspx,1280,0,262
1648016041466,1280,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-76,text,true,,363,139,134,134,http://ajkerdeal.com/customercomplain.aspx,1280,0,262
1648016042747,27786,Complain & Suggestion-1,200,OK,Thread Group 1-76,text,true,,118240,143,134,134,https://ajkerdeal.com:443/customercomplain.aspx,4371,0,3929
1648016063991,6702,Refund Policy,200,OK,Thread Group 1-4,text,true,,112011,274,134,134,https://ajkerdeal.com:443/refundpolicy.aspx,227,0,0
1648016063991,227,Refund Policy-0,301,Moved Permanently,Thread Group 1-4,text,true,,359,135,134,134,http://ajkerdeal.com/refundpolicy.aspx,227,0,0
1648016064219,6474,Refund Policy-1,200,OK,Thread Group 1-4,text,true,,111652,139,134,134,https://ajkerdeal.com:443/refundpolicy.aspx,2532,0,0
1648016045116,25727,Complain & Suggestion,200,OK,Thread Group 1-194,text,true,,118603,282,133,133,https://ajkerdeal.com:443/customercomplain.aspx,539,0,321
1648016045116,539,Complain & Suggestion-0,301,Moved Permanently,Thread Group 1-194,text,true,,363,139,133,133,http://ajkerdeal.com/customercomplain.aspx,539,0,321
1648016045656,25187,Complain & Suggestion-1,200,OK,Thread Group 1-194,text,true,,118240,143,133,133,https://ajkerdeal.com:443/customercomplain.aspx,4629,0,3489
1648016062013,8930,Refund Policy,200,OK,Thread Group 1-92,text,true,,112011,274,133,133,https://ajkerdeal.com:443/refundpolicy.aspx,227,0,0
1648016062013,227,Refund Policy-0,301,Moved Permanently,Thread Group 1-92,text,true,,359,135,133,133,http://ajkerdeal.com/refundpolicy.aspx,227,0,0
1648016062240,8703,Refund Policy-1,200,OK,Thread Group 1-92,text,true,,111652,139,133,133,https://ajkerdeal.com:443/refundpolicy.aspx,443,0,0
1648016021705,49437,Merchant Corner,200,OK,Thread Group 1-153,text,true,,50890,128,132,132,http://corporate.ajkerdeal.com/,16503,0,3508
1648016045656,25570,Refund Policy,200,OK,Thread Group 1-167,text,true,,112011,274,132,132,https://ajkerdeal.com:443/refundpolicy.aspx,495,0,0
1648016045656,495,Refund Policy-0,301,Moved Permanently,Thread Group 1-167,text,true,,359,135,132,132,http://ajkerdeal.com/refundpolicy.aspx,495,0,0
